name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Wissadula amplissima var. rostrata	|	1021861	|	synonym	|	Wissadula amplissima var. rostrata (synonym for Wissadula periplocifolia)	|	gbif:3152302	|	
Wissadula periplocifolia var. gracilima	|	1021861	|	synonym	|	Wissadula periplocifolia var. gracilima (synonym for Wissadula periplocifolia)	|	gbif:3152302	|	
Wissadula periplocifolia var. antillarum	|	1021861	|	synonym	|	Wissadula periplocifolia var. antillarum (synonym for Wissadula periplocifolia)	|	gbif:3152302	|	
Abutilon periflocifolium var. peruvianum	|	1021861	|	synonym	|	Abutilon periflocifolium var. peruvianum (synonym for Wissadula periplocifolia)	|	gbif:3152302	|	
Abutilon gaumeri	|	1021863	|	synonym	|	Abutilon gaumeri (synonym for Bakeridesia gaumeri)	|	gbif:3939747	|	
Psiguria trifoliata	|	1021889	|	synonym	|	Psiguria trifoliata (synonym for Psiguria pedata)	|	irmng:11440712	|	
Anguria pedata	|	1021889	|	synonym	|	Anguria pedata (synonym for Psiguria pedata)	|	irmng:11440712	|	
Anguria trifoliata	|	1021889	|	synonym	|	Anguria trifoliata (synonym for Psiguria pedata)	|	irmng:11440712	|	
Anguria cookiana	|	1021889	|	synonym	|	Anguria cookiana (synonym for Psiguria pedata)	|	irmng:11440712	|	
Bassovia wettsteiniana	|	1021803	|	synonym	|	Bassovia wettsteiniana (synonym for Aureliana wettsteiniana)	|	ncbi:462286,gbif:5581447	|	
Senecio talinoides	|	1021898	|	synonym	|	Senecio talinoides (synonym for Curio talinoides)	|	ncbi:405131	|	
Manchurian salamander	|	1021848	|	synonym	|	Manchurian salamander (synonym for Salamandrella keyserlingii)	|	ncbi:288315	|	
Salamandrella keyzerlingii	|	1021848	|	misspelling	|	Salamandrella keyzerlingii (synonym for Salamandrella keyserlingii)	|	ncbi:288315	|	
Ephebomyrmex naegelii	|	1021844	|	synonym	|	Ephebomyrmex naegelii (synonym for Pogonomyrmex naegelii)	|	ncbi:288319	|	
Pogonomyrmex (Ephebomyrmex) naegelii	|	1021844	|	synonym	|	Pogonomyrmex (Ephebomyrmex) naegelii (synonym for Pogonomyrmex naegelii)	|	ncbi:288319	|	
Oxyepoecus rastratus	|	1021843	|	homotypic synonym	|	Oxyepoecus rastratus (synonym for Pogonomyrmex rastratus)	|	gbif:1325358,irmng:10223246	|	
Lygosoma novaecaledoniae	|	1021869	|	synonym	|	Lygosoma novaecaledoniae (synonym for Lioscincus novaecaledoniae)	|	gbif:2463295	|	
Leiolopisma vovaecaledoniae	|	1021869	|	synonym	|	Leiolopisma vovaecaledoniae (synonym for Lioscincus novaecaledoniae)	|	gbif:2463295,irmng:10922333	|	
Leiolopisma novaecaledonicum	|	1021869	|	synonym	|	Leiolopisma novaecaledonicum (synonym for Lioscincus novaecaledoniae)	|	gbif:2463295,irmng:10922333	|	
Leiolopisma novaecaledoniae	|	1021869	|	synonym	|	Leiolopisma novaecaledoniae (synonym for Lioscincus novaecaledoniae)	|	gbif:2463295,irmng:10922333	|	
Lygosoma novae-caledoniae	|	1021869	|	synonym	|	Lygosoma novae-caledoniae (synonym for Lioscincus novaecaledoniae)	|	irmng:10922333	|	
Solengnathus	|	1021839	|	misspelling	|	Solengnathus (synonym for Solegnathus)	|	worms:205355,gbif:2332682,irmng:1468166	|	
Solenognathus	|	1021839	|	misspelling	|	Solenognathus (synonym for Solegnathus)	|	worms:205355,gbif:2332682,irmng:1058709	|	
Runcinatus	|	1021839	|	synonym	|	Runcinatus (synonym for Solegnathus)	|	gbif:2332682,irmng:1058709	|	
Castelnauina	|	1021839	|	synonym	|	Castelnauina (synonym for Solegnathus)	|	gbif:2332682,irmng:1058709	|	
Solegnathus hardwicki	|	1021833	|	misspelling	|	Solegnathus hardwicki (synonym for Solegnathus hardwickii)	|	ncbi:161473,worms:218034,irmng:10451834	|	
Syngnathus hardwickii	|	1021833	|	synonym	|	Syngnathus hardwickii (synonym for Solegnathus hardwickii)	|	ncbi:161473,worms:218034,gbif:2332683,irmng:10451834	|	
Solegnathus polyprion	|	1021833	|	synonym	|	Solegnathus polyprion (synonym for Solegnathus hardwickii)	|	worms:218034,gbif:2332683,irmng:10451834	|	
Solenognathus hardwickii	|	1021833	|	misspelling	|	Solenognathus hardwickii (synonym for Solegnathus hardwickii)	|	worms:218034,gbif:2332683,irmng:10451834	|	
Syngnathus caretta	|	1021830	|	synonym	|	Syngnathus caretta (synonym for Pugnaso curtirostris)	|	worms:282513,gbif:2332813,irmng:11263266	|	
Syngnathus curtirostris	|	1021830	|	synonym	|	Syngnathus curtirostris (synonym for Pugnaso curtirostris)	|	worms:282513,gbif:2332813,irmng:11263266	|	
Campanulales	|	1042120	|	includes	|	Campanulales (synonym for Asterales)	|	ncbi:4209,irmng:12186	|	
Monocotyledoneae	|	1058517	|	synonym	|	Monocotyledoneae (synonym for Liliopsida)	|	ncbi:4447	|	
Forficularia problematica	|	1062253	|	synonym	|	Forficularia problematica (synonym for Insecta)	|	gbif:216	|	
Carabus winkleri	|	1062253	|	synonym	|	Carabus winkleri (synonym for Insecta)	|	gbif:216	|	
Cercopidium schaefferi	|	1062253	|	synonym	|	Cercopidium schaefferi (synonym for Insecta)	|	gbif:216	|	
Phaneroptera striata	|	1062253	|	synonym	|	Phaneroptera striata (synonym for Insecta)	|	gbif:216	|	
Nematus cretaceus	|	1062253	|	synonym	|	Nematus cretaceus (synonym for Insecta)	|	gbif:216	|	
Termes fossilis	|	1062253	|	synonym	|	Termes fossilis (synonym for Insecta)	|	gbif:216	|	
Cheilosia dubia	|	1062253	|	synonym	|	Cheilosia dubia (synonym for Insecta)	|	gbif:216	|	
Palaeodictyopteron anglicanum	|	1062253	|	synonym	|	Palaeodictyopteron anglicanum (synonym for Insecta)	|	gbif:216	|	
Palaeodictyopteron mazonum	|	1062253	|	synonym	|	Palaeodictyopteron mazonum (synonym for Insecta)	|	gbif:216	|	
Caririephemera marquesi	|	1062253	|	synonym	|	Caririephemera marquesi (synonym for Insecta)	|	gbif:216	|	
Tipularia teyleri	|	1062253	|	synonym	|	Tipularia teyleri (synonym for Insecta)	|	gbif:216	|	
Termes grandaevus	|	1062253	|	synonym	|	Termes grandaevus (synonym for Insecta)	|	gbif:216	|	
Libellulium kaupii	|	1062253	|	synonym	|	Libellulium kaupii (synonym for Insecta)	|	gbif:216	|	
Ideloblattidae	|	1062253	|	synonym	|	Ideloblattidae (synonym for Insecta)	|	gbif:216	|	
Caririephemera	|	1062253	|	synonym	|	Caririephemera (synonym for Insecta)	|	gbif:216	|	
Velia bouatia	|	1062253	|	synonym	|	Velia bouatia (synonym for Insecta)	|	gbif:216	|	
Paroryssus suspectus	|	1062253	|	synonym	|	Paroryssus suspectus (synonym for Insecta)	|	gbif:216	|	
Ephemera meyeri	|	1062253	|	synonym	|	Ephemera meyeri (synonym for Insecta)	|	gbif:216	|	
Palaeodictyopteron virginianum	|	1062253	|	synonym	|	Palaeodictyopteron virginianum (synonym for Insecta)	|	gbif:216	|	
Leptura primigenia	|	1062253	|	synonym	|	Leptura primigenia (synonym for Insecta)	|	gbif:216	|	
Aphis plana	|	1062253	|	synonym	|	Aphis plana (synonym for Insecta)	|	gbif:216	|	
Anthophorites gaudryi	|	1062253	|	synonym	|	Anthophorites gaudryi (synonym for Insecta)	|	gbif:216	|	
Hemerobius higginsi	|	1062253	|	synonym	|	Hemerobius higginsi (synonym for Insecta)	|	gbif:216	|	
Ephemera deposita	|	1062253	|	synonym	|	Ephemera deposita (synonym for Insecta)	|	gbif:216	|	
Cyclocoris pinguis	|	1062253	|	synonym	|	Cyclocoris pinguis (synonym for Insecta)	|	gbif:216	|	
Hemerobius fossilis	|	1062253	|	synonym	|	Hemerobius fossilis (synonym for Insecta)	|	gbif:216	|	
Aspidothorax dubius	|	1062253	|	synonym	|	Aspidothorax dubius (synonym for Insecta)	|	gbif:216	|	
